customer_id,campaign_id,state,action,mdpreward,next_state
1,29,_Spend=131.44,868,0,_Spend=131.44
1,29,_Spend=131.44,868,1,_Spend=1131.65
1,29,_Spend=1131.65,416,-1,_Spend=403.94
1,29,_Spend=403.94,868,-1,_Spend=106.5
1,29,_Spend=106.5,448,1,_Spend=131.44
1,29,_Spend=131.44,868,0,_Spend=131.44
1,29,_Spend=131.44,868,0,_Spend=131.44
1,29,_Spend=131.44,868,1,_Spend=1722.58
1,29,_Spend=1722.58,416,-1,_Spend=131.44
1,29,_Spend=131.44,868,0,_Spend=131.44
1,29,_Spend=131.44,868,1,_Spend=1722.58
1,29,_Spend=1722.58,416,-1,_Spend=131.44
1,29,_Spend=131.44,868,0,_Spend=131.44
1,29,_Spend=131.44,868,1,_Spend=142.12
1,29,_Spend=142.12,1081,-1,_Spend=67.32
1,29,_Spend=67.32,715,1,_Spend=131.44
1,29,_Spend=131.44,868,1,_Spend=177.74
1,29,_Spend=177.74,448,1,_Spend=248.98
1,8,_Spend=248.98,473,0,_Spend=248.98
1,8,_Spend=248.98,473,-1,_Spend=131.44
1,29,_Spend=131.44,868,0,_Spend=131.44
1,29,_Spend=131.44,868,0,_Spend=131.44
1,29,_Spend=131.44,868,0,_Spend=131.44
1,29,_Spend=131.44,868,1,_Spend=2687.53
1,29,_Spend=2687.53,416,-1,_Spend=539.99
1,8,_Spend=539.99,772,0,_Spend=539.99
1,8,_Spend=539.99,772,-1,_Spend=101.16
1,29,_Spend=101.16,868,1,_Spend=102.94
1,29,_Spend=102.94,800,-1,_Spend=101.16
1,29,_Spend=101.16,868,1,_Spend=106.5
1,29,_Spend=106.5,868,-1,_Spend=101.16
1,29,_Spend=101.16,868,1,_Spend=142.12
1,13,_Spend=142.12,24,1,_Spend=391.11
1,13,_Spend=391.11,24,-1,_Spend=101.16
1,29,_Spend=101.16,868,1,_Spend=102.94
1,29,_Spend=102.94,800,0,_Spend=102.94
1,13,_Spend=102.94,24,1,_Spend=131.44
1,8,_Spend=131.44,772,-1,_Spend=101.16
1,29,_Spend=101.16,868,0,_Spend=101.16
1,29,_Spend=101.16,868,1,_Spend=142.12
1,13,_Spend=142.12,24,-1,_Spend=131.43
1,8,_Spend=131.43,772,-1,_Spend=106.5
1,13,_Spend=106.5,24,0,_Spend=106.5
1,13,_Spend=106.5,24,-1,_Spend=101.16
1,29,_Spend=101.16,868,1,_Spend=131.44
1,29,_Spend=131.44,868,0,_Spend=131.44
1,29,_Spend=131.44,868,1,_Spend=1131.65
1,29,_Spend=1131.65,416,0,_Spend=nan
3,8,_Spend=95.82,9,-1,_Spend=35.26
3,13,_Spend=35.26,20,1,_Spend=70.88
3,13,_Spend=70.88,21,0,_Spend=nan
5,7,_Spend=241.86,392,1,_Spend=387.19
5,7,_Spend=387.19,986,-1,_Spend=127.87
5,8,_Spend=127.87,1048,-1,_Spend=79.43
5,8,_Spend=79.43,624,0,_Spend=79.43
5,8,_Spend=79.43,624,0,_Spend=nan
7,29,_Spend=138.56,619,0,_Spend=138.56
